dataset,method,target_external_sampling,threshold,Dice,FNR,FDR
BBBC039,baseline,target_only,0.573,0.908342,0.087316,0.095958
BBBC039,high_entropy_20,4_to_20,0.515,0.907331,0.076851,0.107954
BBBC039,entropy_10_fdr_5_fnr_5,4_to_20,0.459,0.907395,0.074789,0.109748
BBBC039,random_20,4_to_20,0.535,0.902317,0.079116,0.115517
SPATCH_DAPI,baseline,target_only,0.573,0.908342,0.087316,0.095958
SPATCH_DAPI,high_entropy_20,4_to_20,0.585,0.906963,0.076952,0.108571
SPATCH_DAPI,entropy_10_fdr_5_fnr_5,4_to_20,0.436,0.899556,0.076977,0.122747
SPATCH_DAPI,random_20,4_to_20,0.458,0.901349,0.096599,0.100694
SPATCH_DAPI,high_entropy_20,20_to_20,0.571,0.910531,0.079241,0.099471
SPATCH_DAPI,random_20,20_to_20,0.474,0.905310,0.078487,0.110334
