method,roi,TP,FP,FN,TN,Dice,IoU,FNR,FDR,precision,recall
cellpose_zero_shot,Y00039K4-18128_21684_256_256,38580,7568,1172,18216,0.8982537834691502,0.8153000845308538,0.029482793318575166,0.1639941059200832,0.8360058940799168,0.9705172066814248
cellpose_zero_shot,Y00039K4-22336_15020_256_256,39950,5885,1437,18264,0.9160532893077434,0.8451091555254696,0.034721047671974294,0.12839533107886986,0.8716046689211301,0.9652789523280257
cellpose_zero_shot,Y00039K4-25600_35742_256_256,37822,6023,1149,20542,0.9133983771251932,0.8406009690180913,0.029483462061532933,0.13737028167407914,0.8626297183259208,0.970516537938467
cellpose_zero_shot,Y00039K4-32120_41380_256_256,36629,2627,2832,23448,0.9306503042544813,0.8702955711841855,0.07176706114898254,0.06691970654167516,0.9330802934583249,0.9282329388510174
cellpose_zero_shot,Y00039K4-36254_18994_256_256,40885,1770,5560,17321,0.917732884399551,0.8479726226278129,0.1197114867047045,0.04149572148634392,0.958504278513656,0.8802885132952956
cellpose_finetuned_loo,Y00039K4-18128_21684_256_256,36620,4004,3132,21780,0.9112172787896885,0.8369137946795868,0.07878848862950291,0.09856242615202836,0.9014375738479716,0.9212115113704971
cellpose_finetuned_loo,Y00039K4-22336_15020_256_256,39624,5100,1763,19049,0.9203005423232804,0.852367328500441,0.04259791722038321,0.1140327341024953,0.8859672658975047,0.9574020827796168
cellpose_finetuned_loo,Y00039K4-25600_35742_256_256,38288,4492,683,22073,0.9366980220425438,0.8809332075558521,0.017525852557029587,0.10500233754090696,0.8949976624590931,0.9824741474429705
cellpose_finetuned_loo,Y00039K4-32120_41380_256_256,37138,1905,2323,24170,0.946142871700805,0.8977904559299908,0.058868249664225436,0.048792357144686625,0.9512076428553133,0.9411317503357746
cellpose_finetuned_loo,Y00039K4-36254_18994_256_256,40281,1304,6164,17787,0.9151652845620811,0.8435988188234309,0.13271611583593498,0.03135746062282073,0.9686425393771793,0.867283884164065
nnunet_loo,Y00039K4-18128_21684_256_256,36541,4138,3211,21646,0.9086297571831756,0.8325586694007746,0.08077581002213725,0.10172324786745003,0.89827675213255,0.9192241899778627
nnunet_loo,Y00039K4-22336_15020_256_256,37675,4073,3712,20076,0.906357129969327,0.8287505499340079,0.0896899992751347,0.09756155983520169,0.9024384401647984,0.9103100007248653
nnunet_loo,Y00039K4-25600_35742_256_256,37953,4859,1018,21706,0.9281390998129195,0.8659137577002053,0.02612198814503092,0.11349621601420162,0.8865037839857983,0.973878011854969
nnunet_loo,Y00039K4-32120_41380_256_256,37146,3702,2315,22373,0.9250768905104035,0.8605981975302921,0.05866551785307012,0.09062867215041127,0.9093713278495887,0.9413344821469298
nnunet_loo,Y00039K4-36254_18994_256_256,38834,1327,7611,17764,0.8967969886612936,0.8129029557062715,0.16387124555926363,0.033042005926147255,0.9669579940738527,0.8361287544407363
